smiles,compound_id,pIC50,ki_uM,citation
O=C(O)C(CCN1CCCCCC1)C1CC2CCC1C2,AAB0059,,,
CN(CCCC(C(=O)O)C1C2CCC1C2)CC1CCCCC1,AAB0081,,,
O=C(O)C(CN1CCCNCC1)C1C2CCC1C2,AAB0082,,,
O=C(O)C(CN1CCCC1c1ccccc1)C1C2CCC1C2,AAB0083,,,
O=C(O)C(CCCN1CCCC1)C1C2CCC1C2,AAB0084,,,
O=C(O)C(CCC1CCNCC1)C1C2CCC1C2,AAB0087,,,
O=C(O)C(CCN1CCNCC1)C1C2CCC1C2,AAB0088,,,
O=C(O)C(CN1CCCCCC1)C1C2CCC1C2,AAB0092,,,
CN(CCC(C(=O)O)C1C2CCC1C2)CC1CCCC1,AAB0093,,,
O=C(O)C(CCCCN1CCCC1)C1C2CCC1C2,AAB0094,,,
O=C(O)C(CNCC1CCCCC1)C1C2CCC1C2,AAB0096,,,
O=C(O)C(CCN1CCCCCC1)C1C2CCC1C2,AAB0098,,,
O=C(O)C(CN1CCCC1)C1CCC2CCCCC2C1,AAB0101,,,
CCN(C)CCC(C(=O)O)C1CCC2CCCCC2C1,AAB0102,,,
O=C(O)C(CCN1CCCC1)C1CCC2CCCCC2C1,AAB0104,,,
O=C(O)C(CC=C1CCCCN1)C1CCC2CCCCC2C1,AAB0105,,,
O=C(O)C(CN1CCCNCC1)C1CCC2CCCCC2C1,AAB0107,,,
CN(C)CCCC(C(=O)O)C1CCC2CCCCC2C1,AAB0108,,,
CN(CCC(C(=O)O)C1CCC2CCCCC2C1)CC1CCCCC1,AAB0109,,,
O=C(O)C(CCC1CCCCN1)C1CCC2CCCCC2C1,AAB0110,,,
O=C(O)C(C1CCC2CCCCC2C1)C1COCCN1,AAB0111,,,
CN(C)CCCCC(C(=O)O)C1CCC2CCCCC2C1,AAB0114,,,
O=C(O)C(CCN1CCNCC1)C1CCC2CCCCC2C1,AAB0115,,,
O=C(O)C(CN1CCCCCC1)C1CCC2CCCCC2C1,AAB0116,,,
O=C(O)C(CCCN1CCCC1)C1CCC2CCCCC2C1,AAB0117,,,
CN(CCC(C(=O)O)C1CCC2CCCCC2C1)CC1CCCC1,AAB0118,,,
CN(CCCC(C(=O)O)C1CCC2CCCCC2C1)CC1CCCCC1,AAB0119,,,
CC(CC(C(=O)O)C1CCC2CCCCC2C1)N1CCNCC1,AAB0120,,,
C1=CC2=NCN3CCCCC3=NN2C=C1,NEW0636,,,
c1cc(CCN2CCCCC2)c2nn[nH]c2c1,NEW0637,,,
c1cc2ncnc-2n(CCN2CCCCC2)c1,NEW0638,,,
c1cc(CCN2CCCC2)c2nn[nH]c2c1,NEW0639,,,
c1cc2ncnc-2n(CCN2CCCC2)c1,NEW0640,,,
C1=CC2=NCN3CCOCC3=NN2C=C1,NEW0641,,,
c1cc(CCN2CCOCC2)c2nn[nH]c2c1,NEW0642,,,
c1cc2ncnc-2n(CCN2CCOCC2)c1,NEW0643,,,
C1=CC2=NCN3CCNCC3=NN2C=C1,NEW0644,,,
c1cc(CCN2CCNCC2)c2nn[nH]c2c1,NEW0645,,,
c1cc2ncnc-2n(CCN2CCNCC2)c1,NEW0646,,,
CC1CN(CCc2cccc3[nH]nnc23)C1,NEW0647,,,
CC1CN(CCn2cccc3ncnc2-3)C1,NEW0648,,,
CN1CCN(CCn2cnc3c2C(=O)NC3=O)C1,NEW0649,,,
O=C1NC(=O)c2c1ncn2CCN1CCCCC1,NEW0650,,,
Cc1onnc1-c1ccc(C(=O)O)cc1,NEW0656,,,
O=C(O)c1ccc(-c2nnoc2Cl)cc1,NEW0657,,,
O=C(O)c1ccc(-c2nnoc2C(F)(F)F)cc1,NEW0658,,,
N#Cc1onnc1-c1ccc(C(=O)O)cc1,NEW0659,,,
O=C(O)c1ccc(-c2nnoc2-c2ccccc2)cc1,NEW0660,,,
O=C(O)c1ccc(-c2nnoc2-c2ccc(Cl)cc2)cc1,NEW0661,,,
O=C(O)c1ccc(-c2nnoc2-c2ccncc2)cc1,NEW0662,,,
COc1ccc(-c2onnc2-c2ccc(C(=O)O)cc2)cc1,NEW0663,,,
Cc1cccc(-c2onnc2-c2ccc(C(=O)O)cc2)c1,NEW0664,,,
Cc1cc(C(=O)O)ccc1-c1nn[nH]n1,NEW0665,,,
Cc1ccc(-c2nn[nH]n2)c(C(=O)O)c1,NEW0666,,,
CN1C(=O)C(N=C1C(=O)O)SC2=C(C3N(C2=O)C(=C(CS3)C(=O)O)C(=O)N(C4=CC=C(C=C4)N5CCCC5)C6=CC=C(C=C6)N7CCCC7)C(=O)O,CTRL_Ceftaroline,9.0,0.001,Kosowska-Shick 2010 AAC
CC12C3C(C(=O)N3C(=C1SC4CC(NC4)C(=O)O)C(=O)O)N2C(=O)C5=C(C(=C(C=N5)OC)OC)O,CTRL_Ceftobiprole,5.72,1.9,Queenan 2009 AAC
CC(C)(C=O)c1cc(C2=NOC(=N2)c3ccc4c(c3)OCC(=O)N4)ccc1O,AAB_TAN01,6.0,1.0,Tan 2012 NCB
CCCC(=O)Nc1ccc(-c2nc(C3=CC=C(C(=O)O)C=C3)no2)cc1,AAB_TAN02,5.7,2.0,Tan 2012 NCB
O=C(O)c1ccc(C2=NOC(=N2)c3ccc(NC(=O)c4ccco4)cc3)cc1,AAB_TAN03,5.5,3.2,Tan 2012 NCB
O=C(Nc1ccc(-c2nc(C3=CC=C(O)C=C3)no2)cc1)c1ccccc1F,AAB_TAN04,5.3,5.0,Tan 2012 NCB
N#Cc1ccc(NC(=O)N2C(c3ccc(F)cc3)=NC(c3cccc(C(=O)O)c3)=Nc3ccccc32)cc1,AAB_QUIN02,4.8,15.8,Bouley 2015 JACS
CC1(C)SC2C(NC(=O)Cc3ccc(Cl)cc3)C(=O)N2C1C(=O)O,AAB_ODAN02,4.7,20.0,O'Daniel 2014 JACS
CC1=CC(=O)C2=C(O1)C(=C(C3=C2C(=C(C(=C3)CC=C(C)C)O)O)O)O,AAB_MANG01,4.48,33.43,Anwer 2024 CMB
Cc1ccc(C(=O)Nc2ccc(-c3cc(nn3C)c4ccc(F)cc4)cc2)cc1,AAB_PYRZ01,4.5,31.6,Shalaby 2019 APS
Cc1ccc(C(=O)Nc2ccc(-c3ncnc4cc(C)c(C)cc34)cc2)cc1,AAB_BENZ01,4.3,50.1,Shalaby 2019 APS
CC1OC(Oc2cc(-c3cc(=O)c4c(O)c(OC5OC(C)C(O)C(O)C5O)c(C(=O)O)cc4o3)ccc2O)C(O)C(O)C1O,AAB_RUTIN01,4.0,100.0,Molecules 2020
CC1C(C(C(O1)Oc2ccc3c(c2)C(=O)C=C(O3)c4ccc(O)c(OC)c4)O)O,AAB_DIOSM01,4.0,100.0,Molecules 2020
O=C(O)C(CN1CCCC1)C1C2CC3CC1CC(C2)C3,AAB_AA_ADA,4.3,50.0,Adamantane scaffold
O=C(O)C(CCN1CCCC1)C12CC(CC1)(CC2),AAB_AA_SPIRO,4.0,100.0,Spiro scaffold
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)O)C(=O)O)(C)O,CTRL_Meropenem,4.0,100.0,Lamba 2021
CC12C3C(C(=O)N3C(=C1S)C(=O)O)N2C(=O)CC4=CC=CC=C4,CTRL_Imipenem,3.7,200.0,Queenan 2007
COc1cc(NC2C(=O)N3C2SC(C)(C)C3C(=O)O)ccc1O,DIV-0398,,,
COc1cc(-n2c(=O)[nH]c3ccccc32)ccc1O,DIV-0399,,,
COc1cc(OC2OC(C)C(O)C2O)ccc1O,DIV-0400,,,
COc1cc(C2N=C(C(=O)O)N(C)C2=O)ccc1O,DIV-0401,,,
COc1cc(-c2cc(=O)n3cc[nH]c3n2)ccc1O,DIV-0402,,,
COc1cc(SC2=C(C(=O)O)C3SCC(C(=O)O)=C(C(=O)N4CCCC4)N3C2=O)ccc1O,DIV-0403,,,
COc1cc(-c2nc(Nc3ccc(C#N)cc3)no2)ccc1O,DIV-0404,,,
COc1cc(-c2nc(-c3ccc4oc(N5CCCC5)cc(=O)c4c3)no2)ccc1O,DIV-0405,,,
COc1cc(-c2nc(-c3cc(C4OC(C)C(O)C4O)nn3C)no2)ccc1O,DIV-0406,,,
COc1cc(Nc2ccc(-c3ccc(C(=O)O)cc3)cc2)ccc1O,DIV-0407,,,
COc1cc(-c2cc(-c3cc(-c4ccc(N5CCCC5)cc4)n(C)n3)n(C)n2)ccc1O,DIV-0408,,,
N#Cc1ccc(NC(=O)N2C(c3ccccc3)=NC(c3cccc(C(=O)O)c3)=Nc3ccccc32)cc1,DIV-0409,,,
CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O,DIV-0410,,,
Cc1ccc(C(=O)Nc2ccc(-c3cc(-c4ccc(F)cc4)nn3C)cc2)cc1,DIV-0411,,,
COc1cc(-c2cc(=O)c3cc(OC4OC(C)C(O)C4O)ccc3o2)ccc1O,DIV-0412,,,
O=C(NO)C12CC(N3CCCCC3)CCC1C2,NEW0316,,,
O=C(NO)c1ccc(CCN2CCCCC2)cc1,NEW0182,,,
O=C(CCCc1ccc(CCc2ccccc2)cc1)NO,NEW0155,,,
O=C(CCCCc1ccc(-c2ccccc2)cc1)NO,NEW0010,,,
O=C(Cc1ccc(-c2ccccc2)cc1)NO,NEW0002,,,
O=C(NO)OCCc1ccc(-c2ccsc2)cc1,NEW0053,,,
O=C(CCc1ccc(-c2ccc(F)cc2)cc1)NO,NEW0039,,,
O=C(CCCc1ccc(C(F)(F)F)cc1)NO,NEW0225,,,
O=C(NO)OCCC1CCC(Nc2ccccc2)C1,NEW0308,,,
O=C(NO)NCCc1ccc(C(F)(F)F)cc1,NEW0227,,,
O=C(CCCc1ccc2[nH]ccc2c1)NO,NEW0131,,,
O=C(CC1CCC(C(=O)N2CCCCC2)C1)NO,NEW0329,,,
O=C(CC1CCNCC1c1ccccc1)NO,NEW0147,,,
Nc1ccc(-c2ccc(CCNC(=O)NO)cc2)cc1,NEW0066,,,
CC(C)Cc1ccc(CCOC(=O)NO)cc1,NEW0270,,,
O=C(NO)OCCC1CCNCC1c1ccccc1,NEW0150,,,
Cc1c(CCNC(=O)NO)ccc2ncccc12,NEW0118,,,
Nc1ccc(-c2ccc(CC(=O)NO)cc2)cc1,NEW0062,,,
N#Cc1ccc(-c2ccc(CCNC(=O)NO)cc2)cc1,NEW0072,,,
O=C(NO)NCCCc1ccc2cccnc2c1,NEW0129,,,
O=C(CCCc1ccc2sccc2c1)NO,NEW0137,,,
CC(C)Oc1ccc(CCNC(=O)NO)cc1,NEW0266,,,
O=C(CCCc1ccc(CCN2CCCCC2)cc1)NO,NEW0185,,,
NCCc1ccc(CCOC(=O)NO)cc1,NEW0278,,,
O=C(CCCc1ccc2ccccc2c1)NO,NEW0081,,,
Cc1c(CCCC(=O)NO)ccc2ncccc12,NEW0116,,,
N#Cc1ccc(CCNC(=O)NO)cc1,NEW0245,,,
O=C(NO)NCCCc1ccc2ncccc2c1,NEW0112,,,
O=C(NO)OCCC1CCC(Oc2ccccc2)C1,NEW0314,,,
O=C(Cc1ccc2ccccc2c1)NO,NEW0079,,,
O=C(CCc1ccc(CC(=O)N2CCCCC2)cc1)NO,NEW0172,,,
Cc1cc(-c2ccccc2)ccc1CC(=O)NO,NEW0014,,,
O=C(NO)c1ccc(-c2ccc(Cl)cc2)cc1,NEW0031,,,
Cc1c(C(=O)NO)ccc2ncccc12,NEW0113,,,
O=C(NO)NCCc1ccc(C(=O)c2ccccc2)cc1,NEW0193,,,
COC(=O)c1ccc(CC(=O)NO)cc1,NEW0228,,,
O=C(NO)NCCc1ccc(-c2ccccc2)cc1,NEW0006,,,
O=C(NO)c1ccc2c(Cc3ccccc3)cccc2c1,NEW0096,,,
O=C(CCC12CC(N3CCCCC3)CCC1C2)NO,NEW0318,,,
Cc1c(CCOC(=O)NO)ccc2ncccc12,NEW0117,,,
